variable,source_column,transformation,status,validation_rule,limitations
nature,donnees.NATURE (raw feed),none,RAW,none,Free-text/coded notice-nature field; source of notice_type_normalized (CLEANED).
objet,donnees.OBJET (raw feed),none,RAW,none,Unnormalized contract-object text; source of objet_clean (CLEANED).
buyer_siret_raw,donnees identifiant field (raw feed),none,RAW,none,"May be absent, malformed, or non-numeric."
buyer_siren_raw,donnees identifiant field (raw feed),none,RAW,none,"May be absent, malformed, or non-numeric."
buyer_name_raw,donnees acheteur name field (raw feed),none,RAW,none,Free text; a single real buyer can appear under many raw spellings (see §7 name variation).
cpv_main,donnees CPV field or eForms ItemClassificationCode (raw feed),none,RAW,none,May contain malformed or multi-code strings; eForms path recovery is audited in §8.
code_departement,donnees departement field (raw feed),none,RAW,none,Multi-valued (';'-joined); not exploded until §2.
publication_date / dateparution,donnees date fields (raw feed),"pd.to_datetime dtype cast only, no value substitution",RAW,parseable as a date,Timezone-naive after cast; source of publication_year.
annonce_lie,donnees ATTRIBUTION linked-notice-id field (raw feed),none,RAW,none,Only populated on ATTRIBUTION notices; used to build linked_attribution_notice_id (IMPUTED input).
duration_raw,donnees duration field (raw feed),numeric coercion (errors='coerce'),RAW,none,Not plausibility-checked here; see §9 out-of-range flag.
buyer_siret_clean,buyer_siret_raw,format + Luhn checksum validation,CLEANED,14-digit SIRET format and valid Luhn checksum,"Invalid values become missing, not corrected/guessed."
buyer_siren_clean,buyer_siren_raw,format + Luhn checksum validation,CLEANED,9-digit SIREN format and valid Luhn checksum,"Invalid values become missing, not corrected/guessed."
cpv_clean,cpv_main,8-digit format validation after eForms ItemClassificationCode recovery,CLEANED,exact 8-digit CPV code,Malformed values treated as missing; multi-code candidate strings keep the first valid token in prepared data (see §8).
buyer_name_normalized,buyer_name_raw,case/accent/whitespace normalization,CLEANED,non-empty string,"Normalizes spelling of the same name, but distinct real names can still collide (generic institutional names, §7)."
objet_clean,objet,case/accent/whitespace normalization,CLEANED,non-empty string,Not deduplicated or template-stripped.
notice_type_normalized,nature,src/boamp/data/prepare.py::normalize_notice_type (map to APPEL_OFFRE/ATTRIBUTION/OTHER),CLEANED,"value in {APPEL_OFFRE, ATTRIBUTION, OTHER}",Collapses all other raw nature values into OTHER; drives §11's award-link-population restriction.
buyer_key / buyer_key_type,"buyer_siret_clean, buyer_siren_clean, buyer_name_normalized",src/boamp/data/identity_boamp.py::build_boamp_buyer_key (SIRET > SIREN > name-fallback priority ladder),DERIVED,n/a,"NAME_FALLBACK buyer_key aggregates distinct real entities under one key (§5, §13)."
dept_primary,code_departement,"split on ';', take first token",DERIVED,n/a,Discards secondary departments on multi-valued notices.
cpv_division/group/class/category,cpv_clean,substring parsing of the 8-digit code,DERIVED,n/a,Undefined when cpv_clean is missing.
text_length / token_count,objet_clean,character count / whitespace tokenization,DERIVED,n/a,NaN when objet_clean is missing.
is_digital_scope / is_in_pdl,"cpv_division, objet_normalized, code_departement",config/pipeline.yaml scope rule: CPV-division allowlist + French keyword search / department allowlist,DERIVED,n/a,"A scope-tagging heuristic, not a validated eligibility label (§12)."
schema_family,raw donnees payload shape,src/utils/boamp_schema.py heuristic detection,DERIVED,n/a,"Heuristically detected, not a declared field (§4)."
buyer_activity_tier,"buyer_key notice counts (this notebook, §5)","pd.cut into {1, 2-5, 6-20, 21+}",DERIVED,n/a,"Notebook-local bucketing, not part of src/boamp/data/prepare.py."
buyer_name_ambiguity / buyer_name_variation / buyer_name_transformations,"buyer_name_raw, buyer_name_normalized, buyer_siret_clean, buyer_siren_clean, buyer_key, dept_primary, publication_date",Notebook §7 groupby and heuristic pairwise name-transformation classification,DERIVED,n/a,"Calibrates identity ambiguity/aliasing risk; transformation labels are heuristic, not verified legal-name-change annotations."
pub_quarter,publication_date,dt.to_period('Q'),DERIVED,n/a,Notebook-local (§4 only).
lifecycle_role / notice_family_id,"notice_type_normalized, etat, nature_categorise, annonce_lie, annonces_anterieures, buyer_key, publication_date, objet_normalized, cpv_clean","Notebook §10b provisional graph components over explicit links, award links, bounded exact-text edges, and bounded high-similarity edges",DERIVED,n/a,Provisional lifecycle grouping for publications belonging to one procurement episode; not a later-cycle link label.
candidate_environment_future_only / candidate_environment_quantiles / candidate_filter_decomposition,"notice_id, publication_date, notice_type_normalized, is_digital_scope, buyer identifiers, cpv_division, estimated_end_date, candidate_pairs","Notebook §13 strict future-search counts, grouped buyer-compatible counts, and stagewise production filter decomposition",DERIVED,candidate publication_date must be strictly after source publication_date,"Ambient/buyer-compatible rows are corpus-density diagnostics; production rows inherit pipeline blocking, expected-end temporal rules, scoring, and candidate caps."
start_date / start_date_source,"linked_attribution_date, publication_date, annonce_lie",src/boamp/data/prepare.py::prepare_common ATTRIBUTION reverse-lookup; falls back to publication_date when no attribution link resolves,IMPUTED,n/a,start_date_source=='PUBLICATION_DATE_FALLBACK' IS the imputation flag; §11's award_link_unresolved restricts to the APPEL_OFFRE population this applies to.
