parameter_name,definition,estimate_or_range,unit,conditioning_variables,population,provenance,confidence,generator_component,limitations,ready_to_freeze
corpus_size,"Total notices in the prepared, layer-neutral corpus.","84,623",count,n/a,"full corpus, all sectors, all notice types",EMPIRICAL,HIGH,population_sampler,"Extraction-window corpus (2015-2026), not a claim about BOAMP nationally beyond it.",True
notice_type_mix,Share of notices by notice_type_normalized.,APPEL_OFFRE=68.9%; ATTRIBUTION=26.7%; OTHER=4.5%,share,n/a,full corpus,EMPIRICAL,HIGH,population_sampler,"OTHER is a small, heterogeneous residual category (modification/cancellation/etc.).",True
schema_family_mix,Share of notices published under the LEGACY vs eForms XML schema.,LEGACY=87.4%; EFORMS=12.6%,share,n/a,full corpus,EMPIRICAL,HIGH,population_sampler,eForms share will keep rising after this extraction window; not a stationary process.,True
cpv_division_distribution_top5,Share of notices in the 5 most common CPV divisions.,45=24.5%; 71=14.0%; 90=6.5%; 79=6.4%; 50=4.8%,share,n/a,"full corpus, CPV present",EMPIRICAL,HIGH,population_sampler,"Full CPV distribution (45 observed divisions) is in calib_cpv_division_coverage.csv (§2); top-5 only, for a compact generator prior.",True
department_distribution_top5,"Share of notices by primary department code, top 5.",44=39.7%; 49=17.5%; 85=14.2%; 72=13.6%; 53=4.8%,share,n/a,"full corpus, department present",EMPIRICAL,HIGH,population_sampler,Corpus is Pays-de-Loire-download-scoped but not PDL-filtered here (§12); other departments appear via cross-department notices.,True
buyer_activity_tier_mix,Share of notices by buyer activity tier (count of notices published by the same buyer_key).,21+=80.6%; 6-20=11.0%; 2-5=6.0%; 1 (single)=2.4%,share,n/a,full corpus,EMPIRICAL,HIGH,population_sampler,"Highly right-skewed (Gini reported in §5); tier bins are a modeling convenience, not a natural break.",True
identifier_missing_rate,Share of notices with neither a valid SIRET nor SIREN (falls back to name-based identity).,72.8%,rate,n/a,full corpus,EMPIRICAL,HIGH,missingness_injector,"In this corpus, empirically identical to buyer_key_type == NAME_FALLBACK (§15c).",True
duration_missing_rate,Share of notices with no raw duration field at all.,86.4%,rate,n/a,full corpus,EMPIRICAL,HIGH,missingness_injector,"Full-corpus rate; the pipeline's own imputation rate over its eligible-source scope is a separate, smaller-population figure (see duration_imputation_rate below).",True
cpv_missing_and_generic_rates,"Share of notices with a missing CPV code, and share with a present-but-generic CPV code.",missing=17.1%; generic=5.9%,rate,n/a,full corpus,EMPIRICAL,HIGH,missingness_injector,Mutually exclusive by construction (§15c); their negative correlation is partly mechanical.,True
missingness_schema_notice_type_conditioning,How identifier/duration/CPV-missingness rates shift by schema x notice type - the key schema-artifact check.,"duration_missing LEGACY/APPEL_OFFRE=0.93, EFORMS/APPEL_OFFRE=0.11; cpv_missing LEGACY/APPEL_OFFRE=0.24, EFORMS/APPEL_OFFRE=0.00",rate,"schema_family, notice_type_normalized",full corpus,EMPIRICAL,HIGH,missingness_injector,Full breakdown (7 flags x 2 schemas x 3 notice types) in calib_missingness_by_schema_notice_type.csv (§15c); this row is a compact headline pair only.,True
missingness_joint_pattern_lifts,Observed co-occurrence lift (joint rate / expected-if-independent) for 5 named quality-issue bundles.,missing_identifier_and_missing_duration: lift=1.05; missing_cpv_and_missing_duration: lift=1.11; name_fallback_and_large_candidate_pool: lift=0.99; generic_text_and_generic_cpv: lift=0.89; unresolved_award_and_missing_contractor: lift=1.59,lift (ratio),n/a (one row per named pattern),varies per pattern - see missingness_joint_patterns.csv,EMPIRICAL,MEDIUM,missingness_injector,One pattern (name_fallback_and_large_candidate_pool) is SILVER_STANDARD-sourced (see §15c); the other 4 are EMPIRICAL.,True
duration_imputation_rate,Share of the pipeline's own eligible-source scope with an imputed (not observed) duration.,82.7%,rate,n/a,"APPEL_OFFRE & is_digital_scope (n=3,380; broader than the 3,159-row PDL+digital eligible population methodology cites)",EMPIRICAL,MEDIUM,duration_generator,"The highest-leverage assumption in the whole pipeline (docs/methodology.md §2); imputation itself uses median-by-CPV-division, not a distribution draw.",True
siret_vs_name_fallback_share,Share of notices keyed by a validated SIRET vs falling back to a normalized-name key.,NAME_FALLBACK=72.8%; RAW_SIRET=27.2%,share,n/a,full corpus,EMPIRICAL,HIGH,buyer_identity_generator,No RAW_SIREN rows observed in this corpus (§15c); the generator should still expose the RAW_SIREN category since it is a valid code path.,True
buyer_name_ambiguity_rate,Share of normalized buyer names that map to more than one distinct SIRET or SIREN (false-merge risk).,7.6%,rate,n/a,"full corpus, buyer_name_normalized present",EMPIRICAL,MEDIUM,buyer_identity_generator,Detailed examples/classification in calib_buyer_name_ambiguity_examples.csv (§7).,True
buyer_name_variation_rate,Share of validated SIRETs that appear under more than one distinct normalized buyer name (false-split risk).,27.9%,rate,n/a,"full corpus, buyer_siret_clean present",EMPIRICAL,MEDIUM,buyer_identity_generator,"Name-transformation classification (legal-suffix removal, acronym, location-added, etc.) in calib_buyer_name_transformation_counts.csv (§7).",True
generic_buyer_name_share,"Share of normalized buyer names matching the generic-institutional stoplist (mairie, commune, etc.).",36.8%,rate,n/a,full corpus,EMPIRICAL,HIGH,buyer_identity_generator,"Stoplist itself (config/pipeline.yaml enrichment.alias_bridge.generic_names) is a fixed list, not learned; extending it would change this rate.",True
