parameter_id,parameter_name,tier,value_or_range,unit,stratification,source_file,source_columns,computation_method,n_obs,notebook_section,figure_or_table_ref,caveat,generator_use_status
n_total_notices,Total notices in prepared corpus,OBSERVABLE,84623,count,unconditional,data/interim/boamp_common_prepared.csv,notice_id,row count after dedup,84623,1,n/a,"Full corpus, all sectors, all notice types, not scope-filtered.",CALIBRATE
year_completeness_status,First/last observed date and notice count per calendar year,OBSERVABLE,see table,n/a,by publication_year,data/interim/boamp_common_prepared.csv,"publication_year,publication_date","groupby year, min/max/count of publication_date",84623,1,calib_year_completeness_status.csv,"2015 and 2026 are PARTIAL years (extraction-window boundaries), not full calendar years; every other by-year table/chart in this notebook flags them the same way and they must not be compared 1:1 against FULL years.",CALIBRATE
dept_coverage,"Notice share by department (multi-valued, exploded)",OBSERVABLE,see table,share,"marginal, by department",data/interim/boamp_common_prepared.csv,code_departement,"split on ';', explode, value_counts",84623,2,calib_department_coverage.csv,code_departement can list several departments per notice; shares sum to >1.,CALIBRATE
notice_type_by_year,Notice type composition by year,OBSERVABLE,see table,count,by year,data/interim/boamp_common_prepared.csv,"notice_type_normalized, publication_year",groupby crosstab,84623,2,calib_notice_type_by_year.csv,"notice_type_normalized collapses rare types to OTHER; 2015 and 2026 are PARTIAL years (see calib_year_completeness_status.csv), not full-year counts.",CALIBRATE
field_completeness_marginal,"Non-null rate, all 94 columns",OBSERVABLE,see table,rate,marginal,data/interim/boamp_common_prepared.csv,all columns,df.notna().mean(),84623,3,calib_field_completeness_marginal.csv,Includes both raw and derived columns; see §16b calib_data_lineage.csv for which fields are RAW vs CLEANED vs DERIVED vs IMPUTED.,CALIBRATE
key_field_completeness_by_year,Completeness of key fields by year,OBSERVABLE,see table,rate,by publication_year,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_siren_clean,cpv_clean,duration_raw,objet_clean,response_deadline,code_departement_prestation,annonce_lie,titulaire","groupby year, notna mean",84623,3,calib_field_completeness_heatmap.png,"Trend, not a validated forecast; 2015 and 2026 are PARTIAL years.",CALIBRATE
schema_transition_shift,LEGACY vs EFORMS field completeness delta,OBSERVABLE,see table,percentage points,by schema_family,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_siren_clean,cpv_clean,duration_raw,objet_clean,response_deadline,code_departement_prestation,annonce_lie,titulaire","groupby schema_family, notna mean, difference",84623,4,calib_schema_transition_shift.csv,schema_family is detected heuristically from the raw donnees payload (src/utils/boamp_schema.py); not a declared field. The trailing quarters of 2026 are within the PARTIAL year and should not be read as a completed-year trend.,CALIBRATE
buyer_activity_gini,"Gini coefficient, notices per buyer_key",OBSERVABLE,0.832,unitless (0-1),unconditional,data/interim/boamp_common_prepared.csv,buyer_key,Lorenz curve / Gini from groupby(buyer_key).size(),5268,5,calib_buyer_activity_distribution.png,"buyer_key is BOAMP-native identity (SIRET/SIREN/name fallback); NAME_FALLBACK buyers aggregate multiple real entities under one key, inflating apparent concentration.",CALIBRATE
identifier_source_marginal,buyer_identifier_source distribution,OBSERVABLE,see table,share,marginal,data/interim/boamp_common_prepared.csv,buyer_identifier_source,value_counts(normalize=True),84623,6,calib_identifier_quality_summary.csv,RAW_SIRET_FIELD/RAW_SIREN_FIELD/DERIVED_FROM_SIRET/NONE; format+Luhn checksum validated.,CALIBRATE
buyer_name_ambiguity_rate,Share of normalized buyer names mapping to >1 buyer_key,OBSERVABLE,0.2901,rate,marginal + by generic-name/activity/identifier/dept consistency,data/interim/boamp_common_prepared.csv,"buyer_name_normalized,buyer_siret_clean,buyer_siren_clean,dept_primary,buyer_key,buyer_activity_tier","groupby normalized name; count distinct SIRETs/SIRENs/departments/buyer_keys and classify same-SIREN/different-SIRET, different-SIREN, department consistency",4492,7,buyer_name_ambiguity.csv,A data-quality measure of BOAMP-native identity ambiguity used to calibrate false buyer merging risk; generic institutional names are flagged separately because common nouns can represent many legal buyers.,CALIBRATE
